iter	Passed	Remaining
671	1383	675
672	1384	672
673	1386	670
674	1387	668
675	1389	666
676	1391	664
677	1393	661
678	1395	659
679	1397	657
680	1398	655
681	1399	652
682	1402	650
683	1403	648
684	1406	646
685	1410	645
686	1412	643
687	1414	641
688	1417	639
689	1418	637
690	1425	637
691	1431	637
692	1440	638
693	1442	635
694	1446	634
695	1448	632
696	1453	631
697	1456	630
698	1459	628
699	1463	627
700	1469	626
701	1477	627
702	1485	627
703	1489	626
704	1491	624
705	1495	622
706	1498	621
707	1503	619
708	1505	617
709	1507	615
710	1509	613
711	1511	611
712	1517	611
713	1520	608
714	1523	607
715	1525	604
716	1527	602
717	1529	600
718	1532	598
719	1534	596
720	1536	594
721	1538	592
722	1542	591
723	1544	588
724	1548	587
725	1549	584
726	1551	582
727	1554	580
728	1557	579
729	1563	578
730	1565	576
731	1567	573
732	1569	571
733	1573	570
734	1577	568
735	1579	566
736	1580	564
737	1583	562
738	1587	560
739	1593	559
740	1596	557
741	1598	555
742	1599	553
743	1601	550
744	1605	549
745	1607	547
746	1610	545
747	1611	543
748	1613	540
749	1615	538
750	1619	536
751	1622	534
752	1624	532
753	1626	530
754	1628	528
755	1629	526
756	1631	523
757	1634	521
758	1637	519
759	1638	517
760	1640	515
761	1641	512
762	1643	510
763	1644	508
764	1646	505
765	1649	503
766	1652	501
767	1654	499
768	1655	497
769	1657	495
770	1659	492
771	1660	490
772	1663	488
773	1665	486
774	1668	484
775	1669	481
776	1671	479
777	1672	477
778	1674	474
779	1675	472
780	1677	470
781	1680	468
782	1681	466
783	1683	463
784	1685	461
785	1686	459
786	1687	456
787	1689	454
788	1690	452
789	1692	449
790	1695	447
791	1696	445
792	1698	443
793	1699	440
794	1701	438
795	1702	436
796	1703	434
797	1705	431
798	1706	429
799	1710	427
800	1713	425
801	1715	423
802	1717	421
803	1719	419
804	1721	416
805	1722	414
806	1725	412
807	1727	410
808	1729	408
809	1730	405
810	1732	403
811	1733	401
812	1735	399
813	1736	396
814	1738	394
815	1740	392
816	1742	390
817	1743	387
818	1744	385
819	1746	383
820	1747	381
821	1749	378
822	1750	376
823	1752	374
824	1755	372
825	1756	370
826	1758	367
827	1759	365
828	1761	363
829	1762	361
830	1764	358
831	1765	356
832	1767	354
833	1769	352
834	1771	350
835	1772	347
836	1774	345
837	1775	343
838	1776	340
839	1778	338
840	1780	336
841	1782	334
842	1784	332
843	1786	330
844	1787	327
845	1789	325
846	1790	323
847	1791	321
848	1793	318
849	1795	316
850	1796	314
851	1798	312
852	1801	310
853	1802	308
854	1804	305
855	1805	303
856	1807	301
857	1808	299
858	1810	297
859	1812	295
860	1815	293
861	1817	290
862	1818	288
863	1820	286
864	1821	284
865	1823	282
866	1824	279
867	1825	277
868	1827	275
869	1830	273
870	1832	271
871	1833	269
872	1834	266
873	1836	264
874	1838	262
875	1840	260
876	1842	258
877	1845	256
878	1847	254
879	1848	252
880	1849	249
881	1850	247
882	1852	245
883	1853	243
884	1855	241
885	1857	239
886	1859	236
887	1861	234
888	1862	232
889	1864	230
890	1865	228
891	1867	226
892	1869	223
893	1870	221
894	1871	219
895	1872	217
896	1875	215
897	1877	213
898	1878	211
899	1879	208
900	1881	206
901	1882	204
902	1883	202
903	1884	200
904	1886	197
905	1887	195
906	1888	193
907	1891	191
908	1893	189
909	1894	187
910	1895	185
911	1896	183
912	1897	180
913	1899	178
914	1900	176
915	1901	174
916	1903	172
917	1906	170
918	1908	168
919	1909	166
920	1910	163
921	1912	161
922	1913	159
923	1915	157
924	1917	155
925	1918	153
926	1921	151
927	1923	149
928	1926	147
929	1928	145
930	1930	143
931	1939	141
932	1948	139
933	1962	138
934	1966	136
935	1970	134
936	1985	133
937	2000	132
938	2003	130
939	2008	128
940	2014	126
941	2019	124
942	2031	122
943	2033	120
944	2081	121
945	2099	119
946	2101	117
947	2127	116
948	2163	116
949	2165	113
950	2173	111
951	2175	109
952	2178	107
953	2180	105
954	2182	102
955	2187	100
956	2190	98
957	2192	96
958	2209	94
959	2213	92
960	2215	89
961	2221	87
962	2224	85
963	2226	83
964	2229	80
965	2234	78
966	2236	76
967	2238	74
968	2241	71
969	2243	69
970	2246	67
971	2253	64
972	2256	62
973	2259	60
974	2261	57
975	2265	55
976	2268	53
977	2270	51
978	2273	48
979	2275	46
980	2279	44
981	2281	41
982	2283	39
983	2286	37
984	2287	34
985	2289	32
986	2290	30
987	2295	27
988	2297	25
989	2299	23
990	2300	20
991	2302	18
992	2303	16
993	2305	13
994	2308	11
995	2310	9
996	2312	6
997	2314	4
998	2315	2
999	2317	0
